Date,Exhibition,10.00 - 11.00,11.00 - 12.00,12.00 - 13.00,13.00 - 14.00,14.00 - 15.00,15.00 - 16.00,16.00 - 17.00,17.00 - 20.00,Total
25/06/2006,MFA Degree Show,0,0,0,0,26.5,26.5,71.5,71.5,196
24/06/2006,MFA Degree Show,0,0,0,0,35.5,35.5,69.5,86.5,227
24/06/2006,White Plane,0,0,0,0,14,14,78.5,102.5,209
23/06/2006,MFA Degree Show,0,0,11,11,28.5,28.5,33,65,177
23/06/2006,White Plane,0,0,8,8,19,19,23.5,48.5,101
22/06/2006,MFA Degree Show,0,0,7.5,7.5,25.5,25.5,28,44,138
22/06/2006,White Plane,0,0,11,11,25,25,7.5,21.5,101
21/06/2006,MFA Degree Show,0,0,6.5,6.5,18,18,4.5,24.5,78
21/06/2006,White Plane,0,0,4,4,9,9,8.5,10.5,45
20/06/2006,White Plane,0,0,14,14,21,21,22.5,22.5,115
20/06/2006,MFA Degree Show,0,0,13.5,13.5,9,9,26,26,97
18/06/2006,MFA Degree Show,0,0,0,0,37,37,55.5,55.5,185
18/06/2006,White Plane,0,0,0,0,11,11,35,35,92
17/06/2006,White Plane,0,0,0,0,0,0,0,0,0
17/06/2006,MFA Degree Show,0,0,0,0,31.5,31.5,41,76,180
17/06/2006,White Plane,0,0,0,0,18,18,36.5,36.5,109
16/06/2006,MFA Degree Show,0,0,13,13,21,21,18,35,121
15/06/2006,MFA Degree Show,0,0,14,14,15.5,15.5,24,24,107
21/05/2006,Glasgow International,0,0,0,0,9,9,24.5,24.5,67
20/05/2006,Glasgow International,0,0,0,0,12,12,12.5,41.5,78
19/05/2006,Glasgow International,0,0,3,3,2.5,2.5,1.5,18.5,31
18/05/2006,Glasgow International,0,0,2.5,2.5,6.5,6.5,10.5,10.5,39
17/05/2006,Glasgow International,0,0,2.5,2.5,4.5,4.5,9,9,32
16/05/2006,Glasgow International,0,0,1,1,5.5,5.5,9.5,9.5,32
14/05/2006,Glasgow International,0,0,0,0,12,12,35,35,94
13/05/2006,Glasgow International,0,0,0,0,26.5,26.5,41.5,76.5,171
12/05/2006,Glasgow International,0,0,2.5,2.5,4,4,6.5,23.5,43
11/05/2006,Glasgow International,0,0,8,8,5.5,5.5,8.5,8.5,44
10/05/2006,Glasgow International,0,0,6,6,4.5,4.5,9,9,39
09/05/2006,Glasgow International,0,0,6,6,7.5,7.5,5.5,5.5,21
06/05/2006,Glasgow International,0,0,0,0,8,8,37,37,90
05/05/2006,Glasgow International,0,0,2,2,5,5,5,5,24
04/05/2006,Glasgow International,0,0,1,1,2.5,2.5,8.5,8.5,24
03/05/2006,Glasgow International,0,0,2.5,2.5,3,3,5,5,21
02/05/2006,Glasgow International,0,0,1,1,3,3,8.5,17.5,34
30/04/2006,Glasgow International,0,0,0,0,4,4,17.5,17.5,43
29/04/2006,Glasgow International,0,0,0,0,3.5,3.5,34,51,92
28/04/2006,Glasgow International,0,0,4.5,4.5,7.5,7.5,12,12,48
27/04/2006,Glasgow International,0,0,8.5,8.5,5,5,8,16,51
26/04/2006,Glasgow International,0,0,4.5,4.5,7,7,8,34,65
25/04/2006,Glasgow International,0,0,15.5,15.5,5.5,5.5,10,12,64
23/04/2006,Glasgow International,0,0,0,0,10,10,22.5,22.5,65
22/04/2006,Glasgow International,0,0,13,13,10.5,10.5,5,33,85
21/04/2006,Glasgow International,0,0,13,13,8,8,11.5,11.5,65
16/04/2006,Ayrshire CND,0,0,0,0,1,1,18,18,138
15/04/2006,Ayrshire CND,0,0,0,0,2,2,3.5,3.5,11
14/04/2006,Ayrshire CND,0,0,2.5,2.5,4.5,4.5,4,4,22
13/04/2006,Ayrshire CND,0,0,0.5,0.5,3,3,2.5,2.5,12
12/04/2006,Ayrshire CND,0,0,0,0,1,1,4,4,10
11/04/2006,Ayrshire CND,0,0,0,0,2,2,1,11,16
09/04/2006,Ayrshire CND,0,0,0,0,8,8,37,37,90
08/04/2006,Ayrshire CND,0,0,0,0,9,9,4.5,4.5,27
07/04/2006,Ayrshire CND,0,0,0,0,0,0,1,19,20
06/04/2006,Ayrshire CND,0,0,4,4,0.5,0.5,12.5,12.5,34
05/04/2006,Ayrshire CND,0,0,1,1,0,0,7.5,10.5,20
04/04/2006,Ayrshire CND,0,0,2,2,7.5,7.5,4.5,8.5,32
26/03/2006,What Makes You And I Different,0,0,0,0,15.5,15.5,22.5,22.5,76
25/03/2006,What Makes You And I Different,0,0,22.5,22.5,131,131,44.5,83.5,435
24/03/2006,What Makes You And I Different,0,0,5,5,11.5,11.5,10,22,65
23/03/2006,What Makes You And I Different,0,0,2,2,255,255,4,4,522
22/03/2006,What Makes You And I Different,0,0,1.5,1.5,259,259,5,9,535
21/03/2006,What Makes You And I Different,0,0,2,2,5,5,4,4,22
19/03/2006,What Makes You And I Different,0,0,0,0,9.5,9.5,20.5,20.5,60
18/03/2006,What Makes You And I Different,0,0,0,0,16,16,19.5,19.5,71
17/03/2006,What Makes You And I Different,0,0,8.5,8.5,8.5,8.5,5,5,44
16/03/2006,What Makes You And I Different,0,0,2.5,2.5,3.5,3.5,12,12,36
15/03/2006,What Makes You And I Different,0,0,5,5,2,2,5.5,5.5,25
